report_date,commodity,country,marketing_year,crop_stage,Beginning Stocks,Production,Imports,Domestic Total 2,Exports,Ending Stocks,Domestic Crush,Domestic Feed
2010-07-09,wheat,World  3/,2008/09,Current year,124.42,683.26,136.86,642.52,143.42,165.16,,
2010-07-09,wheat,United States,2008/09,Current year,8.32,68.02,3.46,34.29,27.64,17.87,,
2010-07-09,wheat,Total Foreign,2008/09,Current year,116.09,615.25,133.4,608.23,115.78,147.29,,
2010-07-09,wheat,Major Exporters  4/,2008/09,Current year,22.75,211.25,8.26,147.7,65.64,28.91,,
2010-07-09,wheat,Argentina,2008/09,Current year,2.35,10.1,0.03,5.33,6.77,0.39,,
2010-07-09,wheat,Australia,2008/09,Current year,3.65,21.42,0.11,6.85,14.75,3.59,,
2010-07-09,wheat,Canada,2008/09,Current year,4.41,28.61,0.38,8.03,18.81,6.56,,
2010-07-09,wheat,EU-27  5/,2008/09,Current year,12.34,151.11,7.74,127.5,25.32,18.38,,
2010-07-09,wheat,Major Importers  6/,2008/09,Current year,63.35,171.94,74.39,231.35,6.44,71.89,,
2010-07-09,wheat,Brazil,2008/09,Current year,0.34,5.88,6.4,10.7,0.4,1.53,,
2010-07-09,wheat,China,2008/09,Current year,38.96,112.46,0.48,105.5,0.72,45.69,,
2010-07-09,wheat,Sel. Mideast  7/,2008/09,Current year,6.53,13.4,20.45,31.1,0.87,8.41,,
2010-07-09,wheat,N. Africa  8/,2008/09,Current year,9.48,14.35,23.48,37.56,0.25,9.5,,
2010-07-09,wheat,Pakistan,2008/09,Current year,3.48,20.96,3.13,22.8,2.1,2.66,,
2010-07-09,wheat,Southeast Asia  9/,2008/09,Current year,2.66,0.0,11.96,11.74,0.42,2.46,,
2010-07-09,wheat,Selected Other,2008/09,Current year,,,,,,0.0,,
2010-07-09,wheat,India,2008/09,Current year,5.8,78.57,0.01,70.92,0.02,13.43,,
2010-07-09,wheat,FSU-12,2008/09,Current year,12.43,115.46,6.54,76.42,37.76,20.25,,
2010-07-09,wheat,Russia,2008/09,Current year,3.87,63.7,0.2,38.9,18.39,10.48,,
2010-07-09,wheat,Kazakhstan,2008/09,Current year,2.45,12.55,0.11,7.53,5.7,1.88,,
2010-07-09,wheat,Ukraine,2008/09,Current year,2.07,25.9,0.07,11.9,13.04,3.11,,
2010-07-09,wheat,World  3/,2009/10,Current year,165.16,679.85,127.91,651.99,128.83,193.02,,
2010-07-09,wheat,United States,2009/10,Current year,17.87,60.31,3.13,31.28,23.54,26.49,,
2010-07-09,wheat,Total Foreign,2009/10,Current year,147.29,619.54,124.78,620.71,105.29,166.53,,
2010-07-09,wheat,Major Exporters  4/,2009/10,Current year,28.91,196.8,6.01,146.13,58.0,27.58,,
2010-07-09,wheat,Argentina,2009/10,Current year,0.39,9.6,0.01,4.93,4.0,1.07,,
2010-07-09,wheat,Australia,2009/10,Current year,3.59,22.5,0.1,7.1,14.5,4.59,,
2010-07-09,wheat,Canada,2009/10,Current year,6.56,26.5,0.4,8.6,18.5,6.36,,
2010-07-09,wheat,EU-27  5/,2009/10,Current year,18.38,138.2,5.5,125.5,21.0,15.57,,
2010-07-09,wheat,Major Importers  6/,2009/10,Current year,71.89,184.02,66.35,234.1,5.33,82.83,,
2010-07-09,wheat,Brazil,2009/10,Current year,1.53,4.94,6.5,10.8,1.5,0.67,,
2010-07-09,wheat,China,2009/10,Current year,45.69,115.0,1.3,105.0,0.85,56.14,,
2010-07-09,wheat,Sel. Mideast  7/,2009/10,Current year,8.41,14.84,17.35,31.64,0.74,8.22,,
2010-07-09,wheat,N. Africa  8/,2009/10,Current year,9.5,20.23,19.85,38.98,0.24,10.38,,
2010-07-09,wheat,Pakistan,2009/10,Current year,2.66,24.03,0.2,23.2,0.3,3.4,,
2010-07-09,wheat,Southeast Asia  9/,2009/10,Current year,2.46,0.0,12.75,12.44,0.41,2.37,,
2010-07-09,wheat,Selected Other,2009/10,Current year,,,,,,0.0,,
